cavalry_to_now,infantry_to_now,kills_to_now,losses_to_now,map_name,player_id,player_index,player_name,ranged_to_now,replay_id,result,siege_to_now,snapshot_minute,source_name,static_defense_to_now,structures_done_to_now,team_id,units_born_to_now,upgrades_to_now,walls_gates_to_now
47,0,0,37,Age of Knights,1,0,shermanator,0,4cc0fa2abca29384,Win,0,20,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,10,24,0,92,9,10
87,0,0,102,Age of Knights,1,0,shermanator,0,4cc0fa2abca29384,Win,0,25,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,10,31,0,145,11,10
147,0,0,127,Age of Knights,1,0,shermanator,0,4cc0fa2abca29384,Win,0,30,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,15,36,0,218,16,13
244,0,0,370,Age of Knights,1,0,shermanator,16,4cc0fa2abca29384,Win,0,45,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,38,67,0,353,20,21
347,0,0,466,Age of Knights,1,0,shermanator,72,4cc0fa2abca29384,Win,56,60,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,44,79,0,537,27,21
1,0,1,2,Age of Knights,2,1,kris,0,4cc0fa2abca29384,Undecided,0,5,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,2,2,0,14,2,0
1,0,1,4,Age of Knights,2,1,kris,0,4cc0fa2abca29384,Undecided,0,10,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,2,5,0,19,3,0
1,5,1,26,Age of Knights,2,1,kris,0,4cc0fa2abca29384,Undecided,0,15,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,2,5,0,29,3,0
1,5,1,27,Age of Knights,2,1,kris,0,4cc0fa2abca29384,Undecided,0,20,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,2,9,0,34,3,0
9,18,1,27,Age of Knights,2,1,kris,3,4cc0fa2abca29384,Undecided,0,25,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,3,11,0,55,3,0
13,24,2,33,Age of Knights,2,1,kris,7,4cc0fa2abca29384,Undecided,0,30,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,3,14,0,67,3,0
20,24,2,76,Age of Knights,2,1,kris,9,4cc0fa2abca29384,Undecided,0,45,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,3,14,0,79,3,0
20,24,2,76,Age of Knights,2,1,kris,9,4cc0fa2abca29384,Undecided,0,60,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,3,14,0,79,3,0
1,0,0,0,Age of Knights,3,2,Somchaii,0,4cc0fa2abca29384,Undecided,0,5,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,0,1,1,19,3,0
1,0,0,10,Age of Knights,3,2,Somchaii,0,4cc0fa2abca29384,Undecided,0,10,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,0,4,1,29,3,0
1,0,0,33,Age of Knights,3,2,Somchaii,0,4cc0fa2abca29384,Undecided,0,15,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,1,5,1,34,3,0
1,5,0,33,Age of Knights,3,2,Somchaii,0,4cc0fa2abca29384,Undecided,0,20,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,1,12,1,51,3,0
1,7,0,35,Age of Knights,3,2,Somchaii,0,4cc0fa2abca29384,Undecided,0,25,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,1,16,1,74,7,0
1,12,0,46,Age of Knights,3,2,Somchaii,15,4cc0fa2abca29384,Undecided,0,30,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,4,22,1,102,10,0
1,21,0,127,Age of Knights,3,2,Somchaii,62,4cc0fa2abca29384,Undecided,0,45,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,5,25,1,183,16,0
1,25,0,385,Age of Knights,3,2,Somchaii,253,4cc0fa2abca29384,Undecided,0,60,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,6,39,1,395,17,0
1,0,0,0,Age of Knights,4,3,SnoopyWoopy,0,4cc0fa2abca29384,Loss,0,5,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,0,1,1,18,2,0
